customer_id,customer_name,gender,age,city,signup_date,state,customer_segment
10001,Customer 10001,Male,51,Coimbatore,2024-05-27,Tamil Nadu,Loyal
10002,Customer 10002,Male,50,Bengaluru,2023-08-06,Karnataka,Regular
10003,Customer 10003,Female,35,Jaipur,2022-09-02,Rajasthan,New
10004,Customer 10004,Male,20,Kolkata,2023-07-04,West Bengal,Regular
10005,Customer 10005,Female,41,Hyderabad,2023-12-29,Telangana,Regular
10006,Customer 10006,Male,18,Jaipur,2023-10-01,Rajasthan,Loyal
10007,Customer 10007,Female,23,Mysuru,2023-08-07,Karnataka,Regular
10008,Customer 10008,Male,36,Coimbatore,2022-08-14,Tamil Nadu,VIP
10009,Customer 10009,Female,39,Noida,2024-04-06,Uttar Pradesh,Regular
10010,Customer 10010,Female,60,Nagpur,2023-03-17,Maharashtra,Regular
10011,Customer 10011,Male,25,Coimbatore,2023-02-16,Tamil Nadu,Regular
10012,Customer 10012,Female,22,Kolkata,2024-03-24,West Bengal,Regular
10013,Customer 10013,Male,26,Kolkata,2022-09-03,West Bengal,VIP
10014,Customer 10014,Female,64,Hyderabad,2023-08-06,Telangana,Loyal
10015,Customer 10015,Female,38,Mysuru,2023-05-15,Karnataka,Regular
10016,Customer 10016,Male,45,Bengaluru,2024-09-08,Karnataka,New
10017,Customer 10017,Male,63,Hyderabad,2023-07-04,Telangana,New
10018,Customer 10018,Male,21,Hyderabad,2022-04-27,Telangana,Regular
10019,Customer 10019,Male,41,Nagpur,2022-07-23,Maharashtra,Loyal
10020,Customer 10020,Male,25,Chennai,2022-12-17,Tamil Nadu,Loyal
10021,Customer 10021,Male,34,Mysuru,2022-11-15,Karnataka,Regular
10022,Customer 10022,Male,51,Pune,2024-07-28,Maharashtra,New
10023,Customer 10023,Female,37,Hyderabad,2023-05-04,Telangana,Regular
10024,Customer 10024,Male,33,Ahmedabad,2022-04-17,Gujarat,Loyal
10025,Customer 10025,Male,27,Kochi,2023-10-16,Kerala,Regular
10026,Customer 10026,Female,51,Chennai,2022-06-21,Tamil Nadu,Regular
10027,Customer 10027,Male,60,Pune,2023-06-03,Maharashtra,Regular
10028,Customer 10028,Male,27,Ahmedabad,2024-08-15,Gujarat,New
10029,Customer 10029,Male,47,Mysuru,2024-03-23,Karnataka,Regular
10030,Customer 10030,Female,47,Mumbai,2023-06-12,Maharashtra,Loyal
10031,Customer 10031,Female,42,Ahmedabad,2022-11-16,Gujarat,VIP
10032,Customer 10032,Male,63,Noida,2024-11-26,Uttar Pradesh,Regular
10033,Customer 10033,Female,60,Chennai,2023-05-14,Tamil Nadu,New
10034,Customer 10034,Female,58,Jaipur,2022-09-22,Rajasthan,Loyal
10035,Customer 10035,Female,24,Ahmedabad,2024-06-26,Gujarat,Loyal
10036,Customer 10036,Female,64,Delhi,2023-02-06,Delhi,New
10037,Customer 10037,Female,37,Mumbai,2024-09-13,Maharashtra,Loyal
10038,Customer 10038,Male,34,Kolkata,2023-08-25,West Bengal,Loyal
10039,Customer 10039,Male,20,Kolkata,2024-08-09,West Bengal,Regular
10040,Customer 10040,Male,64,Noida,2022-08-06,Uttar Pradesh,Regular
10041,Customer 10041,Female,63,Ahmedabad,2022-11-26,Gujarat,Loyal
10042,Customer 10042,Female,57,Ahmedabad,2022-07-05,Gujarat,Loyal
10043,Customer 10043,Female,53,Kochi,2022-07-28,Kerala,New
10044,Customer 10044,Other,43,Kochi,2022-10-15,Kerala,New
10045,Customer 10045,Male,27,Kochi,2022-03-29,Kerala,New
10046,Customer 10046,Female,51,Nagpur,2024-09-29,Maharashtra,Loyal
10047,Customer 10047,Female,31,Ahmedabad,2022-05-16,Gujarat,Regular
10048,Customer 10048,Female,25,Coimbatore,2022-06-07,Tamil Nadu,Regular
10049,Customer 10049,Other,44,Bengaluru,2024-03-04,Karnataka,Loyal
10050,Customer 10050,Female,27,Delhi,2024-07-08,Delhi,Regular
10051,Customer 10051,Male,32,Nagpur,2022-06-04,Maharashtra,Loyal
10052,Customer 10052,Female,54,Mysuru,2022-08-08,Karnataka,Regular
10053,Customer 10053,Male,39,Nagpur,2025-04-05,Maharashtra,Regular
10054,Customer 10054,Female,62,Coimbatore,2022-11-18,Tamil Nadu,Regular
10055,Customer 10055,Female,48,Mysuru,2023-11-22,Karnataka,VIP
10056,Customer 10056,Male,19,Delhi,2024-04-20,Delhi,Loyal
10057,Customer 10057,Female,62,Coimbatore,2023-05-27,Tamil Nadu,New
10058,Customer 10058,Male,48,Pune,2022-03-28,Maharashtra,VIP
10059,Customer 10059,Male,31,Bengaluru,2022-10-02,Karnataka,Loyal
10060,Customer 10060,Male,27,Delhi,2022-05-21,Delhi,New
10061,Customer 10061,Female,47,Ahmedabad,2023-09-17,Gujarat,New
10062,Customer 10062,Female,53,Kochi,2024-07-04,Kerala,Regular
10063,Customer 10063,Female,64,Pune,2022-12-19,Maharashtra,Regular
10064,Customer 10064,Male,57,Noida,2024-10-25,Uttar Pradesh,Regular
10065,Customer 10065,Female,32,Delhi,2023-01-17,Delhi,Regular
10066,Customer 10066,Female,31,Noida,2023-04-20,Uttar Pradesh,Regular
10067,Customer 10067,Male,48,Mysuru,2024-07-16,Karnataka,Regular
10068,Customer 10068,Male,46,Pune,2022-01-30,Maharashtra,New
10069,Customer 10069,Male,44,Bengaluru,2024-07-10,Karnataka,Regular
10070,Customer 10070,Female,38,Ahmedabad,2023-08-17,Gujarat,Regular
10071,Customer 10071,Female,26,Ahmedabad,2023-05-08,Gujarat,Regular
10072,Customer 10072,Female,37,Coimbatore,2023-05-10,Tamil Nadu,VIP
10073,Customer 10073,Male,52,Ahmedabad,2023-01-23,Gujarat,New
10074,Customer 10074,Female,32,Jaipur,2024-05-22,Rajasthan,New
10075,Customer 10075,Male,41,Hyderabad,2024-04-14,Telangana,New
10076,Customer 10076,Male,33,Nagpur,2025-06-30,Maharashtra,Regular
10077,Customer 10077,Female,53,Kochi,2023-09-22,Kerala,Loyal
10078,Customer 10078,Male,28,Mumbai,2024-07-27,Maharashtra,Regular
10079,Customer 10079,Female,25,Bengaluru,2022-01-30,Karnataka,Regular
10080,Customer 10080,Male,20,Pune,2023-09-15,Maharashtra,Regular
10081,Customer 10081,Female,36,Hyderabad,2024-03-17,Telangana,Regular
10082,Customer 10082,Male,63,Bengaluru,2022-12-08,Karnataka,Regular
10083,Customer 10083,Female,58,Pune,2024-09-27,Maharashtra,Regular
10084,Customer 10084,Male,20,Kochi,2022-09-01,Kerala,New
10085,Customer 10085,Male,53,Chennai,2022-08-09,Tamil Nadu,Loyal
10086,Customer 10086,Female,42,Chennai,2025-03-25,Tamil Nadu,Regular
10087,Customer 10087,Male,53,Noida,2023-01-08,Uttar Pradesh,Regular
10088,Customer 10088,Female,28,Bengaluru,2023-06-15,Karnataka,Regular
10089,Customer 10089,Other,33,Chennai,2022-08-03,Tamil Nadu,VIP
10090,Customer 10090,Male,34,Jaipur,2023-01-02,Rajasthan,New
10091,Customer 10091,Male,59,Pune,2022-04-24,Maharashtra,New
10092,Customer 10092,Female,41,Noida,2025-05-08,Uttar Pradesh,Regular
10093,Customer 10093,Female,34,Ahmedabad,2022-01-25,Gujarat,Regular
10094,Customer 10094,Female,37,Pune,2024-07-22,Maharashtra,Regular
10095,Customer 10095,Female,39,Noida,2025-02-18,Uttar Pradesh,VIP
10096,Customer 10096,Female,23,Kochi,2023-09-03,Kerala,Regular
10097,Customer 10097,Male,24,Bengaluru,2024-05-07,Karnataka,Loyal
10098,Customer 10098,Female,31,Kochi,2024-10-23,Kerala,Regular
10099,Customer 10099,Female,28,Hyderabad,2024-06-16,Telangana,Loyal
10100,Customer 10100,Male,29,Kochi,2024-02-12,Kerala,Regular
10101,Customer 10101,Male,63,Coimbatore,2023-03-21,Tamil Nadu,Regular
10102,Customer 10102,Male,22,Ahmedabad,2022-01-20,Gujarat,Loyal
10103,Customer 10103,Male,22,Delhi,2025-05-12,Delhi,New
10104,Customer 10104,Female,37,Kochi,2024-03-16,Kerala,VIP
10105,Customer 10105,Male,32,Hyderabad,2022-05-08,Telangana,Regular
10106,Customer 10106,Male,43,Mysuru,2022-12-24,Karnataka,VIP
10107,Customer 10107,Male,50,Jaipur,2025-04-12,Rajasthan,Regular
10108,Customer 10108,Other,47,Pune,2024-05-30,Maharashtra,Loyal
10109,Customer 10109,Female,41,Mysuru,2024-11-26,Karnataka,New
10110,Customer 10110,Male,40,Hyderabad,2024-07-05,Telangana,Regular
10111,Customer 10111,Male,26,Noida,2025-01-12,Uttar Pradesh,Loyal
10112,Customer 10112,Other,20,Delhi,2023-05-25,Delhi,Loyal
10113,Customer 10113,Female,53,Ahmedabad,2023-03-20,Gujarat,New
10114,Customer 10114,Male,24,Ahmedabad,2025-05-13,Gujarat,Regular
10115,Customer 10115,Male,39,Ahmedabad,2024-02-18,Gujarat,Regular
10116,Customer 10116,Male,31,Jaipur,2025-01-16,Rajasthan,New
10117,Customer 10117,Male,46,Delhi,2022-09-09,Delhi,Regular
10118,Customer 10118,Female,33,Jaipur,2024-11-20,Rajasthan,Loyal
