product_id,product_name,category,subcategory,selling_price,cost_price
1,Women Product 1,Fashion,Women,1356.88,1131.28
2,Accessories Product 2,Electronics,Accessories,45447.19,37363.5
3,Accessories Product 3,Fashion,Accessories,664.06,455.57
4,Accessories Product 4,Fashion,Accessories,2830.45,1578.62
5,Footwear Product 5,Fashion,Footwear,4738.63,3268.78
6,Sportswear Product 6,Sports,Sportswear,13001.31,10671.78
7,Laptops Product 7,Electronics,Laptops,69280.33,52438.77
8,Kitchen Product 8,Home & Kitchen,Kitchen,44484.41,36890.51
9,Makeup Product 9,Beauty,Makeup,4484.36,3184.9
10,Accessories Product 10,Electronics,Accessories,60612.61,40821.74
11,Accessories Product 11,Electronics,Accessories,21524.32,18125.34
12,Haircare Product 12,Beauty,Haircare,6090.02,5102.71
13,Tablets Product 13,Electronics,Tablets,31411.93,26281.01
14,Personal Care Product 14,Beauty,Personal Care,6619.25,4855.86
15,Laptops Product 15,Electronics,Laptops,77496.34,59479.03
16,Smartphones Product 16,Electronics,Smartphones,15446.27,9955.63
17,Personal Care Product 17,Beauty,Personal Care,7584.53,5166.66
18,Accessories Product 18,Electronics,Accessories,52056.04,34098.18
19,Men Product 19,Fashion,Men,13790.1,9064.3
20,Equipment Product 20,Sports,Equipment,27000.66,15231.43
21,Haircare Product 21,Beauty,Haircare,4651.33,3083.62
22,Haircare Product 22,Beauty,Haircare,4303.17,3343.5
23,Personal Care Product 23,Beauty,Personal Care,3177.28,2468.65
24,Sportswear Product 24,Sports,Sportswear,20171.06,11236.29
25,Laptops Product 25,Electronics,Laptops,119127.62,88294.64
26,Decor Product 26,Home & Kitchen,Decor,34742.3,23090.03
27,Sportswear Product 27,Sports,Sportswear,6760.46,5511.14
28,Accessories Product 28,Electronics,Accessories,6754.68,3785.25
29,Smartphones Product 29,Electronics,Smartphones,24030.68,17104.48
30,Women Product 30,Fashion,Women,5074.07,4059.57
31,Smartphones Product 31,Electronics,Smartphones,70394.22,51961.33
32,Women Product 32,Fashion,Women,4705.12,3024.23
33,Makeup Product 33,Beauty,Makeup,4219.35,2990.71
34,Kitchen Product 34,Home & Kitchen,Kitchen,5575.22,4518.62
35,Women Product 35,Fashion,Women,14141.81,11796.93
36,Accessories Product 36,Electronics,Accessories,102593.44,70476.31
37,Tablets Product 37,Electronics,Tablets,26289.42,16451.69
38,Kitchen Product 38,Home & Kitchen,Kitchen,3614.61,2590.29
39,Footwear Product 39,Fashion,Footwear,11781.72,6614.0
40,Fitness Product 40,Sports,Fitness,23708.12,14456.14
41,Sportswear Product 41,Sports,Sportswear,16137.09,11495.48
42,Furniture Product 42,Home & Kitchen,Furniture,39899.08,29926.54
43,Smartphones Product 43,Electronics,Smartphones,43119.19,31120.49
44,Appliances Product 44,Home & Kitchen,Appliances,2717.45,2294.05
45,Women Product 45,Fashion,Women,11674.3,6614.73
46,Furniture Product 46,Home & Kitchen,Furniture,20783.59,14910.31
47,Decor Product 47,Home & Kitchen,Decor,21471.0,16690.52
48,Accessories Product 48,Electronics,Accessories,72060.02,59967.17
49,Equipment Product 49,Sports,Equipment,16442.92,11234.37
50,Tablets Product 50,Electronics,Tablets,3036.5,1807.56
51,Accessories Product 51,Electronics,Accessories,103220.44,66434.68
52,Kitchen Product 52,Home & Kitchen,Kitchen,24933.71,17608.44
53,Men Product 53,Fashion,Men,765.92,576.71
54,Furniture Product 54,Home & Kitchen,Furniture,45947.28,34567.13
55,Fitness Product 55,Sports,Fitness,17898.53,14739.95
56,Appliances Product 56,Home & Kitchen,Appliances,47690.86,27627.49
57,Smartphones Product 57,Electronics,Smartphones,17423.13,10164.18
58,Smartphones Product 58,Electronics,Smartphones,99880.7,62484.23
59,Equipment Product 59,Sports,Equipment,20438.72,11835.6
60,Fitness Product 60,Sports,Fitness,21033.84,17348.0
61,Women Product 61,Fashion,Women,14831.09,11307.33
62,Accessories Product 62,Electronics,Accessories,62572.22,50886.29
63,Equipment Product 63,Sports,Equipment,16898.65,10851.38
64,Appliances Product 64,Home & Kitchen,Appliances,24113.89,15406.4
65,Makeup Product 65,Beauty,Makeup,6739.63,4557.93
66,Makeup Product 66,Beauty,Makeup,1674.87,1030.46
67,Footwear Product 67,Fashion,Footwear,9281.54,5388.82
68,Men Product 68,Fashion,Men,12221.29,7682.54
69,Decor Product 69,Home & Kitchen,Decor,22275.42,18581.17
70,Appliances Product 70,Home & Kitchen,Appliances,33145.81,27396.46
71,Kitchen Product 71,Home & Kitchen,Kitchen,41433.39,27877.96
72,Accessories Product 72,Fashion,Accessories,14913.98,8943.76
73,Outdoor Product 73,Sports,Outdoor,5311.55,3459.11
74,Smartphones Product 74,Electronics,Smartphones,72730.62,61743.79
75,Men Product 75,Fashion,Men,2181.48,1212.79
76,Equipment Product 76,Sports,Equipment,5700.81,3719.69
