return_id,order_id,order_item_id,return_date,return_reason,refund_amount
700001,500002,4,2025-05-08,Quality Issue,27471.46
700002,500014,19,2024-05-21,Wrong Product,14213.18
700003,500014,20,2024-05-20,Changed Mind,2700.69
700004,500021,30,2024-07-15,Wrong Product,4571.78
700005,500021,31,2024-07-06,Damaged Product,7267.87
700006,500054,79,2025-01-04,Quality Issue,6588.28
700007,500054,80,2024-12-26,Quality Issue,49866.23
700008,500054,81,2025-01-01,Damaged Product,110627.26
700009,500086,142,2024-06-17,Quality Issue,5994.48
700010,500100,170,2024-07-31,Quality Issue,54199.34
700011,500144,240,2025-03-07,Changed Mind,25605.43
700012,500144,241,2025-03-13,Damaged Product,15555.74
700013,500144,242,2025-03-17,Wrong Product,47319.18
700014,500206,345,2025-01-11,Wrong Product,138560.66
700015,500215,356,2025-06-11,Quality Issue,3702.62
700016,500215,357,2025-06-08,Late Delivery,48601.19
700017,500215,359,2025-05-28,Damaged Product,9662.06
700018,500285,457,2024-04-11,Other,153557.76
700019,500285,458,2024-04-17,Damaged Product,2819.38
700020,500316,514,2025-03-05,Changed Mind,8383.61
700021,500316,515,2025-03-04,Damaged Product,159953.43
700022,500369,601,2024-06-20,Changed Mind,22496.46
700023,500369,602,2024-06-19,Wrong Product,5766.34
700024,500394,637,2025-06-30,Late Delivery,10912.93
700025,500421,682,2025-06-15,Quality Issue,2652.31
700026,500421,683,2025-06-20,Quality Issue,6130.15
700027,500435,705,2024-02-18,Quality Issue,25150.92
700028,500435,706,2024-02-13,Other,21033.84
700029,500435,708,2024-02-11,Late Delivery,96034.52
700030,500439,712,2024-01-15,Damaged Product,9193.41
700031,500445,720,2024-01-23,Quality Issue,12011.99
700032,500445,721,2024-01-29,Other,4114.02
700033,500455,737,2025-04-18,Late Delivery,15478.23
700034,500480,786,2025-01-16,Quality Issue,794.55
700035,500480,787,2025-01-16,Quality Issue,5531.21
700036,500480,788,2025-01-21,Quality Issue,1897.65
700037,500491,806,2024-11-11,Other,16053.72
700038,500491,807,2024-11-16,Other,31906.01
700039,500494,813,2025-03-08,Damaged Product,27293.02
700040,500494,814,2025-03-01,Changed Mind,3349.74
700041,500494,815,2025-03-11,Damaged Product,7184.66
700042,500571,958,2025-06-07,Damaged Product,15444.65
700043,500571,959,2025-05-28,Quality Issue,15127.72
700044,500591,1002,2024-10-13,Changed Mind,9657.53
700045,500591,1003,2024-10-27,Late Delivery,53317.81
700046,500618,1048,2024-04-29,Damaged Product,871.42
700047,500667,1141,2024-10-18,Wrong Product,15208.79
700048,500746,1279,2024-11-02,Damaged Product,37443.5
700049,500774,1330,2025-01-22,Other,1497.09
700050,500806,1383,2024-02-05,Wrong Product,8120.32
700051,500837,1434,2025-02-23,Damaged Product,15444.65
700052,500879,1517,2024-03-29,Quality Issue,95720.87
700053,500879,1518,2024-04-12,Changed Mind,2725.98
700054,500911,1569,2024-12-08,Quality Issue,24232.35
700055,500911,1570,2024-12-11,Changed Mind,63372.5
700056,500913,1573,2024-06-14,Damaged Product,5481.02
700057,501007,1740,2025-01-01,Quality Issue,16000.92
700058,501027,1770,2024-07-24,Changed Mind,20206.48
700059,501059,1831,2024-10-14,Quality Issue,25646.94
700060,501059,1832,2024-10-12,Damaged Product,8315.55
700061,501059,1833,2024-10-02,Quality Issue,3756.03
700062,501077,1860,2024-05-13,Other,104155.95
700063,501110,1909,2025-03-13,Other,32510.92
700064,501110,1910,2025-03-16,Wrong Product,18320.62
700065,501129,1938,2025-06-14,Other,77079.39
700066,501149,1969,2024-08-14,Wrong Product,167540.02
700067,501149,1970,2024-08-04,Other,98059.42
700068,501149,1971,2024-08-15,Wrong Product,12481.17
700069,501227,2099,2025-02-17,Quality Issue,21648.1
700070,501227,2100,2025-03-01,Quality Issue,113039.09
700071,501262,2154,2025-03-14,Wrong Product,2753.11
700072,501272,2168,2024-04-28,Damaged Product,17259.46
700073,501287,2193,2024-05-14,Changed Mind,3937.7
700074,501287,2194,2024-05-14,Wrong Product,8315.55
700075,501309,2225,2025-05-10,Changed Mind,16406.3
700076,501321,2246,2025-03-08,Quality Issue,6098.8
700077,501329,2258,2025-01-13,Changed Mind,150777.85
700078,501337,2267,2024-07-04,Damaged Product,193411.55
700079,501345,2277,2024-04-17,Quality Issue,40042.04
700080,501345,2279,2024-04-20,Changed Mind,26926.84
700081,501345,2280,2024-04-12,Damaged Product,29031.81
700082,501346,2281,2024-04-08,Quality Issue,6154.0
700083,501432,2423,2024-07-18,Changed Mind,
700084,501440,2437,2024-09-01,Late Delivery,
700085,501548,2623,2025-01-27,Changed Mind,
700086,501636,2774,2025-01-08,Damaged Product,
700087,501640,2781,2024-01-04,Quality Issue,
700088,501643,2787,2024-04-21,Quality Issue,
700089,501659,2813,2025-04-04,Other,
700090,501660,2814,2024-03-24,Late Delivery,
700091,501697,2874,2025-01-09,Quality Issue,
700092,501717,2899,2024-11-12,Changed Mind,
700093,501717,2900,2024-11-14,Changed Mind,
700094,501739,2932,2025-03-03,Damaged Product,
700095,501739,2933,2025-03-15,Damaged Product,
700096,501742,2940,2024-04-24,Changed Mind,
700097,501754,2961,2024-09-24,Quality Issue,
700098,501813,3062,2025-04-03,Late Delivery,
700099,501901,3208,2024-10-08,Quality Issue,
700100,501901,3209,2024-10-13,Other,
700101,501932,3261,2024-07-21,Damaged Product,
700102,501932,3264,2024-07-13,Damaged Product,
700103,502009,3399,2024-04-26,Other,
700104,502017,3410,2025-06-09,Changed Mind,
700105,502017,3411,2025-06-10,Late Delivery,
700106,502018,3412,2025-01-06,Quality Issue,
700107,502047,3460,2024-05-29,Quality Issue,
700108,502088,3524,2024-12-22,Other,
700109,502140,3614,2024-09-12,Quality Issue,
700110,502181,3680,2025-04-27,Quality Issue,
700111,502201,3712,2025-03-14,Other,
700112,502201,3713,2025-03-16,Wrong Product,
700113,502201,3714,2025-03-20,Quality Issue,
700114,502204,3719,2025-02-14,Quality Issue,
700115,502204,3720,2025-02-22,Changed Mind,
700116,502228,3757,2024-09-02,Late Delivery,
700117,502228,3758,2024-09-11,Wrong Product,
700118,502228,3759,2024-09-11,Damaged Product,
700119,502253,3807,2025-02-17,Late Delivery,
700120,502253,3808,2025-02-18,Wrong Product,
700121,502292,3880,2024-01-13,Wrong Product,
700122,502292,3881,2024-01-06,Damaged Product,
700123,502295,3887,2024-04-07,Quality Issue,
700124,502295,3888,2024-04-13,Changed Mind,
700125,502302,3899,2024-08-15,Quality Issue,
700126,502303,3900,2024-01-13,Changed Mind,
700127,502325,3933,2024-04-13,Wrong Product,
700128,502325,3934,2024-04-26,Late Delivery,
700129,502347,3973,2025-04-07,Wrong Product,
700130,502347,3974,2025-04-12,Quality Issue,
700131,502409,4069,2025-06-03,Wrong Product,
700132,502409,4070,2025-06-07,Quality Issue,
700133,502426,4098,2025-01-12,Late Delivery,
700134,502459,4156,2024-08-10,Quality Issue,
700135,502482,4191,2024-02-18,Quality Issue,
700136,502498,4220,2025-06-19,Late Delivery,
700137,502510,4234,2025-06-22,Quality Issue,
700138,502533,4268,2024-06-10,Quality Issue,
700139,502535,4273,2024-04-09,Changed Mind,
700140,502535,4275,2024-04-09,Changed Mind,
700141,502586,4354,2024-06-03,Changed Mind,
700142,502597,4372,2025-02-17,Changed Mind,
700143,502597,4373,2025-02-21,Late Delivery,
700144,502604,4384,2025-03-31,Damaged Product,
700145,502616,4409,2024-08-31,Damaged Product,
700146,502616,4410,2024-09-01,Late Delivery,
700147,502640,4455,2025-03-17,Quality Issue,
700148,502640,4456,2025-03-23,Late Delivery,
700149,502649,4470,2024-01-16,Damaged Product,
700150,502652,4473,2024-10-25,Other,
700151,502652,4474,2024-11-04,Damaged Product,
700152,502668,4498,2024-09-28,Quality Issue,
700153,502671,4503,2024-06-10,Damaged Product,
700154,502680,4518,2025-05-16,Late Delivery,
700155,502689,4533,2025-04-04,Quality Issue,
700156,502717,4577,2025-05-23,Wrong Product,
700157,502717,4578,2025-05-22,Changed Mind,
700158,502736,4609,2025-04-17,Wrong Product,
700159,502736,4611,2025-04-06,Changed Mind,
700160,502787,4699,2024-06-13,Quality Issue,
700161,502787,4700,2024-06-14,Wrong Product,
700162,502836,4785,2024-12-07,Other,
700163,502836,4786,2024-11-20,Wrong Product,
700164,502865,4837,2025-03-24,Quality Issue,
700165,502937,4953,2025-01-25,Changed Mind,
700166,502955,4979,2025-07-04,Other,
700167,502955,4980,2025-07-08,Damaged Product,
700168,503001,5057,2025-02-24,Damaged Product,
700169,503046,5127,2024-09-09,Quality Issue,
700170,503056,5139,2024-10-04,Quality Issue,
700171,503061,5147,2024-04-12,Wrong Product,
700172,503061,5148,2024-04-06,Changed Mind,
700173,503061,5149,2024-04-11,Damaged Product,
700174,503070,5160,2024-06-30,Quality Issue,
700175,503070,5161,2024-06-21,Changed Mind,
700176,503070,5162,2024-06-23,Other,
700177,503092,5196,2024-08-11,Wrong Product,
700178,503106,5217,2025-06-03,Wrong Product,
700179,503149,5287,2024-07-29,Wrong Product,
700180,503161,5310,2025-02-20,Quality Issue,
700181,503179,5341,2025-04-25,Late Delivery,
700182,503229,5427,2024-12-01,Quality Issue,
700183,503248,5457,2024-05-26,Quality Issue,
700184,503288,5524,2024-10-20,Late Delivery,
700185,503291,5531,2024-02-09,Damaged Product,
700186,503303,5551,2024-12-29,Damaged Product,
700187,503333,5601,2024-09-29,Late Delivery,
700188,503334,5602,2025-02-08,Other,
700189,503351,5633,2024-12-26,Damaged Product,
700190,503351,5634,2025-01-12,Damaged Product,
700191,503385,5689,2025-03-25,Wrong Product,
700192,503386,5690,2024-08-24,Quality Issue,
700193,503420,5743,2025-06-01,Quality Issue,
700194,503480,5837,2024-06-06,Other,
700195,503516,5890,2024-03-27,Quality Issue,
700196,503531,5913,2024-06-01,Wrong Product,
700197,503533,5915,2024-03-16,Quality Issue,
700198,503559,5965,2024-10-05,Quality Issue,
700199,503563,5972,2024-06-24,Damaged Product,
700200,503563,5973,2024-06-26,Late Delivery,
700201,503567,5980,2024-04-04,Wrong Product,
700202,503632,6088,2024-08-31,Damaged Product,
700203,503638,6096,2024-08-05,Other,
700204,503640,6100,2024-09-02,Quality Issue,
700205,503648,6116,2024-06-02,Damaged Product,
700206,503648,6117,2024-06-03,Damaged Product,
700207,503665,6141,2025-04-29,Other,
700208,503670,6147,2024-11-03,Changed Mind,
700209,503770,6304,2024-05-15,Other,
700210,503778,6317,2024-05-23,Damaged Product,
700211,503779,6318,2024-07-13,Quality Issue,
700212,503779,6319,2024-07-07,Changed Mind,
700213,503884,6485,2024-02-23,Changed Mind,
700214,503891,6497,2024-10-30,Wrong Product,
700215,503891,6498,2024-10-27,Late Delivery,
700216,503891,6499,2024-10-31,Quality Issue,
700217,503939,6581,2024-07-09,Quality Issue,
700218,503965,6621,2024-09-27,Wrong Product,
700219,503965,6622,2024-09-15,Other,
700220,503979,6648,2024-06-04,Changed Mind,
700221,503979,6649,2024-06-12,Damaged Product,
700222,504004,6684,2024-02-25,Wrong Product,
700223,504114,6877,2025-02-28,Quality Issue,
700224,504114,6878,2025-03-03,Wrong Product,
700225,504118,6883,2025-06-22,Changed Mind,
700226,504119,6884,2024-08-25,Quality Issue,
700227,504120,6885,2024-07-24,Changed Mind,
700228,504120,6886,2024-07-17,Changed Mind,
700229,504258,7113,2025-04-24,Quality Issue,
700230,504272,7137,2024-03-24,Changed Mind,
700231,504290,7162,2024-01-17,Quality Issue,
700232,504290,7163,2024-01-10,Late Delivery,
700233,504298,7173,2025-05-06,Quality Issue,
700234,504332,7224,2025-02-11,Damaged Product,
700235,504332,7225,2025-01-30,Wrong Product,
700236,504332,7226,2025-02-06,Changed Mind,
700237,504413,7378,2024-12-13,Wrong Product,
700238,504452,7434,2025-06-05,Quality Issue,
700239,504456,7438,2024-12-05,Damaged Product,
700240,504461,7449,2024-04-23,Damaged Product,
700241,504485,7493,2025-06-10,Quality Issue,
700242,504497,7510,2024-01-30,Other,
700243,504505,7522,2025-01-09,Changed Mind,
700244,504525,7557,2025-03-12,Other,
700245,504531,7566,2024-11-29,Quality Issue,
700246,504546,7588,2025-02-02,Damaged Product,
700247,504546,7589,2025-02-02,Quality Issue,
700248,504567,7626,2024-06-06,Quality Issue,
700249,504601,7684,2024-02-09,Damaged Product,
700250,504605,7690,2024-08-05,Other,
700251,504681,7810,2024-05-26,Quality Issue,
700252,504710,7867,2024-07-06,Late Delivery,
700253,504727,7890,2024-02-08,Other,
700254,504733,7899,2024-05-19,Late Delivery,
700255,504766,7949,2024-11-15,Wrong Product,
700256,504766,7950,2024-11-10,Other,
700257,504766,7951,2024-11-22,Damaged Product,
700258,504793,7998,2024-09-14,Damaged Product,
700259,504794,7999,2025-06-01,Wrong Product,
700260,504795,8001,2025-01-20,Other,
700261,504914,8207,2025-01-31,Damaged Product,
700262,504997,8354,2024-07-14,Changed Mind,
700263,505014,8382,2025-05-12,Wrong Product,
700264,505017,8388,2024-05-06,Changed Mind,
700265,505017,8389,2024-05-22,Late Delivery,
700266,505143,8605,2025-04-27,Quality Issue,
700267,505243,8767,2024-05-12,Damaged Product,
700268,505248,8776,2024-03-04,Quality Issue,
700269,505315,8886,2024-08-31,Damaged Product,
700270,505349,8939,2024-09-14,Quality Issue,
700271,505349,8941,2024-09-09,Quality Issue,
700272,505414,9038,2025-02-24,Damaged Product,
700273,505414,9039,2025-02-20,Quality Issue,
700274,505428,9065,2025-05-14,Late Delivery,
700275,505489,9175,2024-12-08,Late Delivery,
700276,505497,9188,2024-03-15,Late Delivery,
700277,505529,9236,2024-10-31,Damaged Product,
700278,505541,9257,2025-04-05,Other,
700279,505580,9319,2024-10-22,Damaged Product,
700280,505580,9320,2024-10-20,Damaged Product,
700281,505580,9322,2024-10-25,Quality Issue,
700282,505598,9350,2024-05-19,Damaged Product,
700283,505610,9366,2024-08-07,Changed Mind,
700284,505610,9367,2024-08-19,Other,
700285,505637,9409,2025-03-05,Late Delivery,
700286,505690,9518,2025-06-11,Late Delivery,
700287,505705,9544,2025-04-28,Damaged Product,
700288,505792,9692,2024-12-20,Damaged Product,
700289,505792,9693,2024-12-05,Other,
700290,505813,9727,2025-03-31,Changed Mind,
700291,505862,9803,2024-05-30,Changed Mind,
700292,505862,9804,2024-06-05,Late Delivery,
700293,505865,9808,2025-05-20,Quality Issue,
700294,505928,9901,2024-06-01,Late Delivery,
700295,505939,9925,2024-12-23,Other,
700296,505943,9930,2024-01-28,Changed Mind,
700297,505976,9984,2025-02-19,Other,
700298,506019,10069,2025-01-27,Wrong Product,
700299,506030,10092,2025-07-02,Late Delivery,
700300,506030,10094,2025-07-03,Changed Mind,
700301,506069,10165,2024-11-27,Changed Mind,
700302,506069,10166,2024-11-30,Damaged Product,
700303,506085,10191,2024-08-06,Wrong Product,
700304,506112,10234,2025-06-17,Quality Issue,
700305,506195,10371,2025-01-26,Quality Issue,
700306,506195,10372,2025-01-31,Quality Issue,
700307,506209,10399,2024-09-06,Damaged Product,
700308,506211,10402,2025-02-18,Other,
700309,506228,10435,2024-04-19,Quality Issue,
700310,506252,10476,2025-06-17,Quality Issue,
700311,506252,10478,2025-06-02,Late Delivery,
700312,506283,10525,2025-01-25,Quality Issue,
700313,506383,10677,2024-05-19,Wrong Product,
700314,506450,10789,2025-03-17,Late Delivery,
700315,506451,10790,2025-03-24,Quality Issue,
700316,506480,10835,2024-01-19,Changed Mind,
700317,506510,10889,2024-04-05,Changed Mind,
700318,506543,10939,2025-06-16,Wrong Product,
700319,506544,10940,2024-07-29,Quality Issue,
700320,506544,10941,2024-08-03,Other,
700321,506573,10988,2024-06-08,Late Delivery,
700322,506597,11027,2025-05-11,Damaged Product,
700323,506615,11050,2024-08-19,Wrong Product,
700324,506615,11051,2024-08-11,Damaged Product,
700325,506631,11077,2024-10-18,Wrong Product,
700326,506660,11128,2025-05-08,Changed Mind,
700327,506714,11227,2024-09-19,Wrong Product,
700328,506714,11228,2024-09-01,Changed Mind,
700329,506748,11287,2024-03-01,Quality Issue,
700330,506748,11288,2024-02-27,Quality Issue,
700331,506784,11354,2024-03-15,Other,
700332,506784,11355,2024-03-10,Late Delivery,
700333,506784,11356,2024-03-12,Late Delivery,
700334,506792,11366,2025-04-12,Other,
700335,506792,11367,2025-04-24,Wrong Product,
700336,506792,11368,2025-04-15,Quality Issue,
700337,506865,11495,2024-09-10,Changed Mind,
700338,506874,11508,2024-03-12,Other,
700339,506942,11621,2024-09-21,Other,
700340,506942,11623,2024-09-29,Other,
700341,507048,11803,2025-02-13,Changed Mind,
700342,507070,11838,2024-06-17,Damaged Product,
700343,507070,11839,2024-06-07,Wrong Product,
700344,507074,11846,2024-08-29,Damaged Product,
700345,507113,11912,2025-02-18,Wrong Product,
700346,507113,11913,2025-02-12,Quality Issue,
700347,507162,12010,2025-05-26,Changed Mind,
700348,507173,12026,2024-04-14,Wrong Product,
700349,507173,12027,2024-04-22,Late Delivery,
700350,507201,12082,2024-06-29,Late Delivery,
700351,507201,12083,2024-07-05,Damaged Product,
700352,507266,12185,2024-10-03,Wrong Product,
700353,507305,12245,2024-11-29,Quality Issue,
700354,507308,12248,2024-04-07,Wrong Product,
700355,507308,12249,2024-03-27,Damaged Product,
700356,507335,12297,2025-01-01,Changed Mind,
700357,507387,12387,2025-02-24,Late Delivery,
700358,507406,12422,2024-07-12,Other,
700359,507436,12474,2024-02-03,Damaged Product,
700360,507436,12475,2024-02-05,Late Delivery,
700361,507441,12480,2025-02-09,Damaged Product,
700362,507444,12484,2024-06-24,Quality Issue,
700363,507494,12565,2024-05-29,Wrong Product,
700364,507519,12610,2024-08-27,Late Delivery,
700365,507536,12636,2024-03-09,Changed Mind,
700366,507542,12646,2024-01-16,Other,
700367,507542,12648,2024-01-21,Other,
700368,507542,12649,2024-01-16,Changed Mind,
700369,507564,12686,2024-10-10,Quality Issue,
700370,507637,12802,2025-03-01,Other,
700371,507637,12803,2025-02-28,Damaged Product,
700372,507674,12852,2025-01-21,Other,
700373,507748,12985,2024-05-23,Damaged Product,
700374,507814,13091,2024-08-10,Damaged Product,
700375,507835,13124,2025-05-25,Quality Issue,
700376,507839,13128,2024-12-25,Other,
700377,507839,13129,2024-12-26,Quality Issue,
700378,507876,13182,2024-07-26,Damaged Product,
700379,507876,13183,2024-07-21,Changed Mind,
700380,507878,13185,2024-01-19,Changed Mind,
